id,hotel_name,region,latitude,longitude,accommodation_type,cost,minimum_nights,number_of_reviews,reviews_per_month,owner_id,owned_hotels,yearly_availability
47019,St Ermin s Hotel Autograph Collection,Queens,40.75304,-73.87661,Shared room,40,2,2,2,173794097,1,0
36177,Montagu Place Hotel,Brooklyn,40.58296,-73.95879,Private room,99,30,1,0.11,7365834,5,1
29543,H tel Regina,Brooklyn,40.65686,-73.95758,Entire home/apt,22,7,5,0.3,3218951,1,0
36935,Mercure Paris Gare De Lyon TGV,Manhattan,40.77123,-73.9549,Entire home/apt,175,2,3,1.23,110042455,1,0
8055,Villa Montparnasse,Brooklyn,40.68556,-73.96238,Shared room,750,1,15,0.34,319077,4,1
41149,H tel des Champs Elys es,Manhattan,40.7454,-74.00427,Private room,450,90,0,,57761801,1,1
33506,Lyric H tel Paris,Manhattan,40.72256,-73.9848,Entire home/apt,150,3,6,0.48,40594187,1,0
29538,Hotel Design Secret de Paris,Manhattan,40.77685,-73.9537,Entire home/apt,90,2,12,0.79,49222773,1,0
3960,Hotel Dupond Smith,Brooklyn,40.71512,-73.94978,Entire home/apt,102,7,26,0.41,8778997,1,0
8801,Okko Hotels Paris Porte De Versailles,Brooklyn,40.71154,-73.96424,Entire home/apt,147,3,55,1.29,35288455,1,0
19098,La Villa Royale,Brooklyn,40.69951,-73.91641,Shared room,113,30,6,0.18,40611169,5,1
38753,Hotel Indigo Paris Opera,Manhattan,40.73021,-74.00379,Entire home/apt,305,30,0,,107434423,232,0
34447,Villa Opera Drouot,Brooklyn,40.68462,-73.96908,Private room,110,225,0,,23773099,1,1
14637,Novotel Paris Gare De Lyon,Manhattan,40.7471,-73.97263,Shared room,190,30,0,,2856748,49,1
3645,H tel Belloy Saint Germain By Happyculture,Manhattan,40.76293,-73.98981,Entire home/apt,150,5,9,0.15,6959160,1,0
35111,Hotel Louis 2,Brooklyn,40.68056,-73.95372,Entire home/apt,100,3,5,0.66,41610771,1,0
34261,InterContinental Paris Le Grand,Manhattan,40.74017,-73.99485,Entire home/apt,175,3,6,0.57,2596736,1,0
31431,The Trafalgar Hilton,Queens,40.70142,-73.90515,Entire home/apt,90,1,22,1.64,53781263,2,0
20920,Park Lane Mews Hotel,Brooklyn,40.66156,-73.99318,Entire home/apt,73,2,48,1.86,3291579,1,0
7329,Old Ship Inn Hackney,Manhattan,40.74746,-73.97883,Private room,499,30,4,0.09,28005408,1,1
40452,The Drayton Court Hotel,Manhattan,40.79737,-73.93499,Private room,100,2,0,,4233057,3,1
34515,The Montcalm Marble Arch,Manhattan,40.74564,-74.0006,Entire home/apt,200,1,12,1.09,17506009,1,0
11917,The Colonnade,Brooklyn,40.69029,-73.95443,Entire home/apt,98,14,9,0.2,1747007,1,0
29979,The Royal Horseguards,Manhattan,40.84502,-73.94078,Shared room,25,1,51,2.99,43352661,3,1
30384,Grange Fitzrovia Hotel,Queens,40.69861,-73.90728,Entire home/apt,89,1,42,2.57,42078872,1,0
43675,H tel Le M,Manhattan,40.84008,-73.93684,Private room,100,5,0,,186325219,1,1
6148,The Hari London,Manhattan,40.77998,-73.98462,Entire home/apt,130,2,17,0.37,23334541,1,0
37016,citizenM London Bankside,Manhattan,40.76877,-73.95479,Private room,110,7,1,0.14,24954668,1,1
3926,Radisson Blu Edwardian Mercer Street,Brooklyn,40.64815,-73.96486,Entire home/apt,79,2,8,0.13,1301613,1,0
5700,Twenty Nevern Square Hotel,Brooklyn,40.67579,-73.9679,Entire home/apt,71,2,174,3,7848968,2,0
24012,The Abbey Court Notting Hill,Brooklyn,40.69891,-73.98473,Private room,300,360,0,,135703190,1,1
1186,Seven Hotel,Manhattan,40.72232,-73.98686,Private room,104,3,57,0.7,2356449,1,0
24033,Platine Hotel Spa,Manhattan,40.7291,-73.99246,Entire home/apt,191,2,37,1.5,7107479,1,0
31622,Mercure Paris Gare Montparnasse,Brooklyn,40.66959,-73.91204,Private room,120,3,3,0.29,24790900,1,1
48642,Mercure Paris Notre Dame Saint Germain des Pr s,Manhattan,40.72964,-74.0031,Shared room,200,2,0,,15870918,1,0
4871,Mercure Paris Centre Tour Eiffel,Brooklyn,40.68422,-73.95666,Entire home/apt,127,4,142,2.34,5810978,1,0
11248,Banke H tel,Manhattan,40.71971,-73.98494,Private room,90,4,59,1.36,41324442,1,0
41083,Mondrian London,Brooklyn,40.67697,-74.00993,Shared room,250,3,0,,6902218,1,0
20094,Karma Sanctum Soho Hotel,Manhattan,40.75368,-73.97358,Private room,1599,3,2,0.08,69545883,12,1
29601,NH London Kensington,Brooklyn,40.68177,-73.88277,Shared room,68,2,10,0.94,167636238,3,1
41769,Saint James Albany Paris Hotel Spa,Bronx,40.84321,-73.83129,Private room,100,2,22,4.93,230205171,1,0
44070,Mercure Paris Montparnasse Raspail,Manhattan,40.73859,-73.98218,Private room,89,360,0,,1146958,4,1
36531,Golden Tulip Bercy Gare de Lyon 209,Brooklyn,40.63931,-73.94451,Private room,125,1,7,0.76,218883687,2,1
36182,Montfleuri,Brooklyn,40.70761,-73.9424,Shared room,105,2,1,0.11,2300366,2,0
31157,Simply Rooms Suites,Manhattan,40.71085,-74.0158,Private room,158,2,20,1.34,10915812,1,0
37063,Mercure Paris Pigalle Sacre Coeur,Queens,40.76276,-73.92508,Entire home/apt,86,1,6,0.79,17813973,1,0
29336,The Academy,Manhattan,40.76396,-73.96365,Private room,350,3,1,0.05,80612882,1,0
35278,Le Meridien Piccadilly,Queens,40.6726,-73.79566,Private room,31,5,1,0.11,8814258,7,1
20123,Mercure Paris Terminus Nord,Brooklyn,40.63485,-73.92055,Entire home/apt,40,2,4,0.13,56878925,2,0
36306,H tel F licien by Elegancia,Queens,40.74909,-73.89538,Entire home/apt,41,29,1,0.15,19303369,37,0
33422,Le Lavoisier,Brooklyn,40.6944,-73.95674,Shared room,38,3,14,1.14,119669058,34,1
34395,H tel Moli re,Manhattan,40.76629,-73.986,Private room,236,30,0,,200380610,65,1
46766,Vice Versa,Manhattan,40.72358,-74.00397,Shared room,230,1,1,0.91,9883499,1,0
47210,The Kings Head Hotel,Brooklyn,40.69172,-73.9113,Private room,49,30,0,,268110281,3,1
38842,H tel Etoile Saint Honor by Happyculture,Manhattan,40.76331,-73.99128,Shared room,150,1,1,1,5439134,1,0
21733,Hotel Le petit Paris,Bronx,40.84034,-73.83007,Private room,20,1,116,4.09,86108833,1,0
16882,Mercure Paris 19 Philharmonie La Villette,Brooklyn,40.71303,-73.96574,Entire home/apt,190,2,9,0.25,36123030,1,0
41642,Royal Garden Champs Elysees,Manhattan,40.80511,-73.95824,Private room,300,3,0,,241708736,1,1
22922,H tel Brighton Esprit de France,Brooklyn,40.72034,-73.96031,Shared room,190,30,0,,128914189,2,0
1276,H tel Paris Bastille Boutet MGallery by Sofitel,Brooklyn,40.72515,-73.95153,Entire home/apt,199,1,0,,2694253,1,1
29242,Montcalm Royal London House City of London,Manhattan,40.72167,-73.98066,Private room,125,1,3,0.38,164391402,1,1
45100,Conrad London St James,Queens,40.70078,-73.9075,Private room,140,30,0,,244171850,10,1
32136,L Edmond H tel,Brooklyn,40.67808,-73.98074,Entire home/apt,120,3,9,0.67,1546476,1,0
47653,Novotel Suites Paris Montreuil Vincennes,Manhattan,40.76558,-73.98855,Entire home/apt,500,1,4,4,266992480,2,0
45899,London Marriott Hotel West India Quay,Manhattan,40.75869,-73.96725,Entire home/apt,195,5,12,7.83,255222056,1,0
48861,London Hilton on Park Lane,Manhattan,40.76628,-73.95795,Private room,120,1,0,,57502664,1,0
7414,Radisson Blu Portman Hotel London,Manhattan,40.79582,-73.9479,Private room,295,2,0,,25134906,1,1
22172,H tel France d Antin Op ra,Manhattan,40.75538,-74.00441,Private room,337,27,0,,6945333,1,1
6317,Hotel Stendhal Place Vend me Paris MGallery by Sofitel,Manhattan,40.82351,-73.94047,Entire home/apt,85,10,57,1.03,22350590,1,0
42627,H tel De Buci by MH,Manhattan,40.72849,-73.98576,Private room,82,30,0,,245637171,8,1
45865,Hotel Parc Saint Severin Esprit de France,Queens,40.66162,-73.85598,Entire home/apt,200,1,2,2,10415735,2,1
24415,Hotel Chavanel,Queens,40.71127,-73.84278,Shared room,125,2,3,0.13,1609077,3,1
44809,The Portobello Hotel,Manhattan,40.74557,-74.00825,Private room,280,30,0,,17477908,10,1
27537,Royal Saint Honore,Manhattan,40.74023,-73.99994,Shared room,485,3,2,0.32,5761098,1,0
43017,Landmark London,Manhattan,40.7065,-74.00503,Private room,169,7,1,0.65,5144567,13,1
16758,Hilton London Metropole,Manhattan,40.76375,-73.98387,Private room,257,30,0,,22541573,87,1
37563,Best Western Seraphine Kensington Olympia,Queens,40.73333,-73.79514,Private room,500,1,0,,13460069,1,1
47180,Portobello House,Brooklyn,40.69229,-73.94116,Shared room,90,2,1,1,121705027,1,0
7172,Le Meurice,Queens,40.74436,-73.91141,Private room,90,1,27,0.55,27084741,2,1
758,Maison Albar Hotel Paris C line,Manhattan,40.72257,-73.98465,Private room,299,3,49,0.53,1195295,1,1
39462,Henry VIII,Manhattan,40.71387,-73.99414,Private room,175,1,1,0.25,76192815,5,1
25883,Goodenough Club,Manhattan,40.7506,-73.97104,Private room,176,30,0,,76104209,33,1
9869,Holiday Inn Paris Montmartre,Queens,40.75037,-73.91265,Private room,59,4,28,0.59,26388084,2,1
47137,Hotel Pulitzer Paris,Manhattan,40.74405,-73.97349,Private room,200,30,0,,221200420,23,1
8089,Hotel Vignon,Brooklyn,40.67986,-73.94259,Private room,180,2,9,0.36,32406934,1,1
38218,London Suites,Brooklyn,40.64564,-74.01867,Private room,75,1,1,0.15,44434863,1,1
7078,H tel Aiglon Esprit de France,Manhattan,40.76645,-73.98539,Private room,150,4,15,0.41,8329975,1,0
5626,Sansi Diputacio,Manhattan,40.72651,-74.00014,Shared room,125,1,0,,21232737,1,0
15890,Park Plaza Victoria London,Brooklyn,40.71267,-73.95367,Private room,1000,35,6,0.16,70208173,1,1
31741,Grange Beauchamp Hotel,Manhattan,40.76592,-73.98095,Shared room,125,3,1,0.07,183736521,1,0
5266,The Franklin Hotel Starhotels Collezione,Brooklyn,40.67548,-73.96802,Entire home/apt,85,2,206,3.5,7848968,2,0
34609,Club Quarters Hotel St Paul s,Brooklyn,40.69854,-73.92373,Shared room,106,1,2,0.22,32346001,2,0
11327,Hotel Elys es Bassano,Manhattan,40.81057,-73.94565,Entire home/apt,95,2,3,0.11,46112296,1,0
41195,Hotel Opera Cadet,Manhattan,40.71918,-73.99536,Shared room,125,3,1,0.42,240248599,1,0
43035,Phileas Hotel,Manhattan,40.70922,-74.00571,Private room,169,7,0,,5144567,13,1
31673,Holiday Inn Paris Elys es,Manhattan,40.79892,-73.95139,Entire home/apt,44,1,49,3.38,186620707,2,0
32402,H tel Beauchamps,Manhattan,40.72852,-73.99009,Entire home/apt,150,3,34,2.91,6101536,1,0
47173,Best Western Nouvel Orl ans Montparnasse,Brooklyn,40.61994,-73.93967,Private room,60,1,0,,267940629,1,1
24918,Hotel Plaza Athenee Paris,Brooklyn,40.5967,-73.96041,Shared room,100,3,23,0.99,14833285,1,0
1399,Mercure Paris Place d Italie,Manhattan,40.80352,-73.95127,Entire home/apt,136,2,15,0.18,3097033,2,0
36042,The Nadler Kensington,Manhattan,40.7112,-74.0094,Shared room,209,1,51,5.82,56656728,5,0
21520,H tel Da Vinci Spa,Queens,40.76043,-73.91465,Private room,96,2,18,0.62,81876750,1,1
34118,XO Hotel,Brooklyn,40.6855,-73.96112,Private room,999,1,2,0.22,319077,4,1
30803,H tel Vernet,Brooklyn,40.71549,-73.95579,Entire home/apt,200,2,13,1.01,6527776,1,0
28395,Mandarin Oriental Paris,Queens,40.76355,-73.79461,Entire home/apt,120,2,1,0.05,135530716,4,0
19217,Rosewood London,Manhattan,40.71745,-73.99409,Shared room,300,1,23,0.69,76192815,5,1
44516,Novotel Paris Vaugirard Montparnasse,Manhattan,40.70599,-74.00515,Shared room,139,7,2,0.92,3577413,1,0
14680,Mayflower Hotel Apartments,Manhattan,40.75505,-73.96484,Private room,185,30,0,,2856748,49,1
29392,Caesar Hotel,Brooklyn,40.68741,-73.9066,Entire home/apt,38,1,48,2.64,20120009,6,0
43970,Hotel Xanadu,Manhattan,40.76447,-73.99103,Shared room,69,1,4,1.48,253906467,9,1
8872,Draycott Hotel,Manhattan,40.76207,-73.98945,Entire home/apt,245,1,162,3.29,35524316,11,0
32155,DoubleTree by Hilton London Docklands Riverside,Manhattan,40.81185,-73.93902,Entire home/apt,225,1,7,0.52,23454048,1,0
42678,Bentley London,Manhattan,40.82734,-73.94718,Shared room,85,4,3,1.13,249286477,1,0
12479,Mercure Paris Arc de Triomphe Etoile,Brooklyn,40.70831,-73.92095,Shared room,115,2,9,0.27,47710992,1,0
41716,Park Grand Paddington Court,Manhattan,40.80419,-73.96603,Entire home/apt,180,5,4,0.85,10434070,1,0
36010,The One Barcelona GL,Brooklyn,40.68003,-73.91181,Shared room,65,3,17,2.26,215387072,3,1
4815,The Zetter Townhouse Marylebone,Brooklyn,40.7117,-73.96321,Private room,500,2,48,0.8,17218916,1,1
25922,Forest Hill Paris la Villette,Brooklyn,40.64162,-73.90891,Private room,100,3,2,0.1,148237535,4,1
21704,The Levin Hotel,Brooklyn,40.72214,-73.93725,Entire home/apt,75,1,162,5.7,118084951,1,0
33481,The Tophams Hotel,Brooklyn,40.69164,-73.91513,Private room,47,1,9,1.03,198328249,2,1
44126,Le Pavillon de la Reine Spa,Manhattan,40.75196,-73.97269,Shared room,500,4,0,,91854658,1,0
35064,Hidden Hotel by Elegancia,Brooklyn,40.67268,-73.96108,Private room,190,1,9,0.99,50912,1,1
27169,Le Roch Hotel Spa,Manhattan,40.80543,-73.95739,Entire home/apt,150,1,21,1.14,12216173,1,0
42374,H10 London Waterloo,Brooklyn,40.68258,-73.87731,Private room,50,7,1,0.52,169587048,2,1
37060,San Domenico House,Brooklyn,40.69304,-73.94349,Shared room,72,2,15,1.77,105386434,3,1
11165,Bloomsbury Palace Hotel,Queens,40.75758,-73.9206,Shared room,57,3,2,0.19,2591842,1,0
6961,Hotel du Petit Moulin,Brooklyn,40.67347,-73.96544,Entire home/apt,230,7,12,0.24,637688,1,0
47748,Hotel Atmospheres,Manhattan,40.73421,-74.00321,Shared room,750,1,0,,133372725,1,0
34142,H tel La Comtesse by Elegancia,Manhattan,40.72527,-73.98338,Private room,100,1,33,2.8,7615002,2,0
29169,Hotel Astra Opera Astotel,Brooklyn,40.69523,-73.90871,Entire home/apt,48,2,28,1.51,4043468,1,0
38661,Hotel La Villa Saint Germain Des Pr s,Brooklyn,40.72471,-73.939,Entire home/apt,100,7,3,0.78,2011313,1,0
9132,Grand Pigalle Hotel,Manhattan,40.81161,-73.94306,Private room,70,1,0,,16978260,1,1
47440,Innkeeper s Lodge London Greenwich,Queens,40.72733,-73.86047,Shared room,75,1,2,2,110644265,1,0
40233,Morgan Mees,Brooklyn,40.63936,-74.03164,Shared room,99,5,2,2,10198498,1,0
9341,Hotel Duminy Vendome,Manhattan,40.74281,-73.97981,Private room,120,7,11,0.32,16396714,3,0
47639,Maison Albar H tel Paris Champs Elys es ex Mac Mahon ,Brooklyn,40.69874,-73.92969,Private room,150,2,0,,269606659,1,1
24860,Holiday Inn London Mayfair,Brooklyn,40.62468,-73.94532,Entire home/apt,46,2,4,0.17,141322867,1,0
35720,H tel Recamier,Queens,40.74316,-73.87285,Shared room,40,29,2,0.29,43044876,5,0
41136,TRYP Paris Op ra,Queens,40.74774,-73.88653,Entire home/apt,115,2,3,0.84,52720583,1,0
25375,Royal Saint Michel,Brooklyn,40.63601,-73.91503,Private room,110,1,1,0.07,138006255,2,1
18634,Paddington Court Executive Rooms,Manhattan,40.82483,-73.95394,Entire home/apt,41,14,25,0.75,91804427,1,0
36455,Novotel London Paddington,Brooklyn,40.65073,-73.92738,Private room,135,4,9,1.07,218457745,1,1
21557,Hyatt Regency Paris Etoile,Manhattan,40.80754,-73.95151,Shared room,58,2,68,2.35,3236595,4,0
39607,Relais Saint Jacques,Manhattan,40.76909,-73.95479,Entire home/apt,140,4,4,0.65,2793924,1,0
42549,Hotel Cambon,Manhattan,40.76592,-73.98769,Shared room,75,1,5,1.38,248068752,5,1
24856,Mercure Paris Montmartre Sacr Coeur,Manhattan,40.74948,-73.97685,Private room,150,30,0,,120762452,50,1
21345,Relais Christine,Brooklyn,40.70081,-73.99503,Entire home/apt,107,25,12,0.42,113924874,1,0
17021,Les Matins de Paris Spa,Manhattan,40.76111,-73.99818,Private room,219,30,0,,30283594,121,1
29686,Hotel Square,Manhattan,40.81196,-73.95221,Shared room,65,1,3,0.18,164886138,11,1
27374,H tel Bourgogne Montana by MH,Brooklyn,40.72174,-73.95807,Shared room,125,3,1,0.05,40991179,2,0
4440,The Westin Paris Vend me,Brooklyn,40.68596,-73.95837,Private room,155,25,3,0.05,14892152,1,1
43655,Hotel Montalembert,Brooklyn,40.64695,-73.93121,Shared room,100,2,3,1.14,242631139,4,1
15687,H tel Mathis Elys es,Manhattan,40.76747,-73.98613,Private room,87,30,2,0.06,1475015,52,1
44112,Le Saint Hotel Paris,Manhattan,40.84405,-73.93714,Shared room,49,3,1,0.45,133561420,1,0
48329,Hotel Le Squara,Brooklyn,40.69128,-73.92078,Shared room,75,4,0,,10004428,1,0
10666,L Hotel Pergol se Paris,Brooklyn,40.71468,-73.93774,Shared room,100,2,0,,11268108,1,0
32408,H tel Mayfair Paris,Manhattan,40.73521,-73.99944,Entire home/apt,120,4,6,0.49,13251813,1,0
18540,Best Western Plus de Neuville Arc de Triomphe,Brooklyn,40.64293,-74.01786,Private room,58,3,106,3.06,90765758,1,0
41662,South Place Hotel,Manhattan,40.74378,-73.97356,Private room,239,29,0,,30283594,121,1
47968,The Royal Park Hotel,Brooklyn,40.65855,-73.93794,Shared room,150,5,0,,270871567,1,1
45684,Holiday Inn Paris Op ra Grands Boulevards,Brooklyn,40.69234,-73.97219,Entire home/apt,150,3,4,3.64,4267864,1,0
45893,Henley House Hotel,Brooklyn,40.64061,-73.99216,Private room,56,2,8,5.45,88113848,2,1
28018,Holiday Inn London Camden Lock,Manhattan,40.75033,-73.97546,Private room,150,30,2,0.14,120762452,50,1
37893,DoubleTree by Hilton London Westminster,Brooklyn,40.7213,-73.95677,Shared room,210,4,3,0.44,225390764,1,0
45413,Blakemore Hyde Park,Queens,40.76187,-73.82169,Shared room,69,1,9,4.91,151810361,6,1
46722,Hyatt Regency London The Churchill,Manhattan,40.82521,-73.93811,Shared room,40,30,0,,266502082,1,0
34811,Rathbone,Manhattan,40.73928,-73.98638,Shared room,129,1,35,3.3,164291123,3,1
15931,Le Belmont Champs Elys es,Brooklyn,40.7155,-73.96188,Shared room,150,1,6,0.16,1909320,3,1
38657,Duret,Manhattan,40.71446,-73.99112,Entire home/apt,95,2,5,0.8,11773839,1,0
15088,H tel Elysees Mermoz,Brooklyn,40.69305,-73.90825,Private room,60,2,21,0.53,64444742,1,1
10627,Majestic Hotel Spa,Queens,40.76211,-73.92894,Private room,100,1,1,0.02,40336543,2,1
28253,BoB Hotel by Elegancia,Brooklyn,40.68165,-73.96006,Entire home/apt,110,3,15,0.83,10763283,1,0
7780,Comfort Inn Suites Kings Cross St Pancras,Manhattan,40.71758,-73.99201,Shared room,84,1,2,0.08,30616009,1,0
204,The Queens Gate Hotel,Manhattan,40.80234,-73.95603,Private room,200,30,0,,253385,1,1
36561,Grange Langham Court Hotel,Manhattan,40.75049,-73.99809,Shared room,69,1,2,0.24,219016824,1,0
28336,Radisson Blu Edwardian Hampshire,Manhattan,40.85677,-73.92986,Entire home/apt,45,2,50,2.69,70338191,1,0
36163,Four Seasons Hotel George V Paris,Brooklyn,40.69582,-73.9095,Private room,40,1,0,,109004750,1,1
1620,The Marble Arch London,Brooklyn,40.71714,-73.95447,Private room,195,2,80,0.98,3847832,1,1
33123,H tel Fabric,Queens,40.70647,-73.79794,Entire home/apt,52,30,0,,76237449,1,1
39812,H tel du Minist re,Queens,40.70487,-73.90354,Private room,57,30,0,,133802988,6,1
38640,Shangri La Hotel at The Shard London,Brooklyn,40.7318,-73.95307,Private room,399,1,0,,213781715,33,1
41951,Hotel Les Bulles De Paris,Brooklyn,40.66947,-73.95593,Entire home/apt,90,3,20,4.96,8714863,1,0
44826,Acad mie H tel Saint Germain,Manhattan,40.71977,-73.98423,Private room,128,1,0,,259816232,2,1
18381,Plaza Tour Eiffel,Manhattan,40.73304,-73.97421,Private room,82,60,0,,484993,1,1
642,Park Grand London Kensington,Brooklyn,40.68016,-73.94878,Private room,280,3,5,0.05,1276497,1,1
28587,Rocco Forte Brown s Hotel,Brooklyn,40.64017,-73.9105,Shared room,290,3,4,0.39,148237535,4,1
3621,Royal Hotel Champs Elys es,Brooklyn,40.6591,-73.96116,Private room,100,2,13,0.36,11066377,1,1
41080,Best Western Allegro Nation,Manhattan,40.75628,-73.99643,Private room,299,1,0,,224414117,30,1
14450,Prince de Galles a Luxury Collection hotel Paris,Brooklyn,40.68963,-73.99259,Entire home/apt,94,1,39,0.98,5368671,1,0
2282,The Beaufort,Staten Island,40.64699,-74.08151,Private room,190,2,0,,6024006,1,1
10612,H tel La Parizienne by Elegancia,Manhattan,40.79877,-73.96259,Shared room,185,3,200,4.31,22372311,1,0
20107,Madeleine Plaza,Manhattan,40.7524,-73.97153,Private room,699,3,1,0.03,69545883,12,1
30920,Blakes Hotel,Manhattan,40.80942,-73.93701,Entire home/apt,50,3,118,8.06,65059624,1,0
38761,Castille Paris Starhotels Collezione,Manhattan,40.70887,-74.01446,Private room,233,30,0,,107434423,232,1
31819,H tel D Aubusson,Manhattan,40.73992,-73.98272,Entire home/apt,200,2,16,1.57,187684303,1,0
20327,Hotel Oscar,Brooklyn,40.67715,-73.94543,Private room,100,2,0,,354891,1,1
22989,Best Western Bretagne Montparnasse,Manhattan,40.76207,-73.9858,Entire home/apt,120,1,8,2.09,23867523,1,0
27248,The Westbridge Hotel,Brooklyn,40.6985,-73.93384,Private room,42,2,13,0.65,13917921,2,1
345,Courthouse Hotel Shoreditch,Brooklyn,40.68613,-73.96536,Private room,650,5,0,,116599,3,1
18468,ME London by Melia,Manhattan,40.77715,-73.94802,Private room,175,4,7,0.21,40238258,1,1
46957,Grange Clarendon Hotel,Queens,40.76316,-73.82337,Shared room,99,1,4,4,151810361,6,1
36435,Hotel Indigo London Kensington,Brooklyn,40.71849,-73.94165,Entire home/apt,80,3,6,0.8,142059543,1,0
45110,Novotel Paris 17,Manhattan,40.75236,-73.9793,Shared room,250,2,0,,260649642,1,0
30939,Rafayel Hotel Spa,Manhattan,40.80228,-73.96334,Entire home/apt,75,2,70,4.6,32909393,1,0
21209,Norfolk Towers Paddington,Brooklyn,40.65151,-73.94957,Entire home/apt,22,30,0,,2092314,7,1
42586,Artus Hotel by MH,Brooklyn,40.70195,-73.98309,Entire home/apt,85,2,10,4.05,240717293,1,0
40359,Best Western Premier Kapital Op ra,Manhattan,40.78047,-73.95152,Entire home/apt,110,1,3,0.51,51812548,1,0
27390,Timhotel Op ra Blanche Fontaine,Manhattan,40.8556,-73.93245,Private room,35,4,67,3.61,6690551,1,0
18256,H tel Amastan Paris,Manhattan,40.83406,-73.94731,Entire home/apt,100,5,13,1.04,87537411,1,0
34372,H tel Gustave,Manhattan,40.76243,-73.99078,Shared room,95,3,3,0.26,84825183,1,0
9231,Best Western Maitrise Hotel Edgware Road,Manhattan,40.73489,-74.00182,Entire home/apt,220,1,84,1.75,8082431,1,0
42239,Georgian House Hotel,Manhattan,40.7319,-74.00489,Private room,175,1,4,1.4,246664340,1,0
16402,Best Western Tour Eiffel Invalides,Manhattan,40.74244,-73.98316,Entire home/apt,99,1,180,4.86,31154454,2,0
29705,The Chesterfield Mayfair,Manhattan,40.81339,-73.95176,Private room,65,1,1,0.07,164886138,11,1
23909,My Chelsea,Manhattan,40.78179,-73.95209,Entire home/apt,120,3,38,3.37,13547493,2,0
44188,Eiffel Trocad ro,Manhattan,40.76512,-73.98674,Private room,240,1,0,,34689714,5,1
5230,Hotel Saint Petersbourg Opera,Manhattan,40.81022,-73.94266,Private room,115,1,16,0.27,16065171,1,1
37851,H tel Champs lys es Plaza,Brooklyn,40.71365,-73.93838,Shared room,150,4,2,0.25,151901555,1,0
2713,Melia Paris Tour Eiffel,Manhattan,40.76582,-73.99468,Private room,300,2,23,0.32,7837136,1,1
39227,Timhotel Op ra Grands Magasins,Brooklyn,40.7205,-73.94717,Shared room,80,3,2,0.47,5221013,1,0
34189,Dukes Hotel,Queens,40.74446,-73.90466,Entire home/apt,45,30,5,0.51,19303369,37,0
16473,Radisson Blu Edwardian Berkshire,Manhattan,40.7394,-73.97996,Private room,225,30,0,,2856748,49,1
27952,Pestana Chelsea Bridge Hotel Spa,Brooklyn,40.71568,-73.94415,Entire home/apt,70,2,16,0.85,57291936,1,0
39802,Arbor Hyde Park,Manhattan,40.82211,-73.93887,Shared room,85,4,0,,76388052,1,0
28947,Mercure Paris Porte De Versailles Expo,Manhattan,40.74888,-74.00481,Private room,4160,1,0,,3750764,6,1
38529,Great St Helen Hotel,Manhattan,40.76189,-73.99955,Private room,499,30,0,,163251048,8,1
33901,Hotel Whistler,Brooklyn,40.68978,-73.95131,Shared room,65,30,21,2.05,201824419,3,1
18272,Hotel Georgette,Queens,40.69848,-73.89569,Private room,34,30,14,0.41,87723508,2,1
6368,Westside Arc de Triomphe Hotel,Queens,40.72401,-73.72901,Private room,99,1,3,0.23,24030482,1,1
24053,Etoile Saint Ferdinand,Queens,40.75636,-73.927,Entire home/apt,70,30,10,0.41,5749658,1,0
1019,H tel Saint Marc,Brooklyn,40.68722,-73.96289,Shared room,500,1,54,0.65,319077,4,1
21775,United Lodge Hotel and Apartments,Manhattan,40.75766,-73.99089,Private room,195,30,0,,3191545,23,1
1705,H tel Le Walt,Manhattan,40.80343,-73.93514,Private room,120,3,22,0.31,4076876,1,1
139,H tel Le Royal Monceau Raffles Paris,Brooklyn,40.6863,-73.96765,Private room,135,4,84,0.77,116599,3,1
44373,Eccleston Square Hotel,Manhattan,40.74285,-73.99595,Private room,277,29,0,,219517861,327,1
36800,Nottingham Place Hotel,Manhattan,40.73079,-74.00268,Entire home/apt,195,2,10,1.16,16955151,1,0
21772,Hotel Claridge Paris,Manhattan,40.76589,-73.98434,Shared room,199,30,6,0.23,3191545,23,1
6222,Strand Palace Hotel,Manhattan,40.81208,-73.94243,Private room,205,2,3,0.05,23588055,1,1
43933,H tel L Echiquier Op ra Paris MGallery by Sofitel,Manhattan,40.73286,-74.00463,Entire home/apt,160,3,3,1.88,4189194,1,0
31232,H tel De Castiglione,Manhattan,40.72213,-73.99479,Private room,200,2,22,1.57,143589,1,0
48485,Hilton London Olympia,Manhattan,40.74218,-73.99813,Shared room,150,5,0,,49037454,1,0
37862,Grange Buckingham Hotel,Brooklyn,40.68515,-73.93255,Entire home/apt,64,2,7,0.92,70431576,1,0
45535,The Cleveland,Manhattan,40.76558,-73.98785,Shared room,75,1,3,1.76,262360035,6,1
31470,Dorset Square Hotel,Manhattan,40.79,-73.96851,Entire home/apt,148,2,5,0.34,2450194,1,0
47348,Edouard 7 Paris Op ra,Brooklyn,40.70483,-73.92565,Private room,79,30,1,1,268572259,3,1
21595,Renaissance Paris Arc de Triomphe Hotel,Queens,40.76752,-73.9314,Shared room,150,7,12,0.42,4680813,1,0
17272,Rubens At The Palace,Queens,40.59421,-73.80043,Entire home/apt,200,2,35,0.95,79341807,1,0
181,every hotel Piccadilly,Queens,40.70382,-73.89797,Shared room,350,8,10,0.11,204539,5,1
2609,Millennium Gloucester Hotel London,Manhattan,40.73432,-74.00306,Private room,220,1,2,0.03,176903,2,1
